                  Temp     Hi    Low   Out    Dew  Wind  Wind   Wind    Hi    Hi   Wind   Heat    THW   THSW                Rain  Solar   Solar Hi Solar   UV    UV    Hi     Heat    Cool    In     In    In     In           Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir    Run Speed   Dir  Chill  Index  Index  Index   Bar    Rain  Rate   Rad.  Energy    Rad.  Index  Dose   UV     D-D     D-D    Temp   Hum    Dew   Heat     ET   Samp   Tx   Recept  Int.
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
17/07/14 12:05a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.4  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   25.1    69   19.0   26.1    0.00     0    1      0.0    5 
17/07/14 12:10a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.4  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.9    69   18.9   25.9    0.00     0    1      0.0    5 
17/07/14 12:15a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.4  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.9    69   18.9   25.9    0.00     0    1      0.0    5 
17/07/14 12:20a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.4  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   25.0    68   18.7   25.9    0.00     0    1      0.0    5 
17/07/14 12:25a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.4  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.9    68   18.6   25.9    0.00     0    1      0.0    5 
17/07/14 12:30a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.4  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.8    68   18.5   25.7    0.00     0    1      0.0    5 
17/07/14 12:35a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.4  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.9    68   18.6   25.9    0.00     0    1      0.0    5 
17/07/14 12:40a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.4  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.9    68   18.6   25.8    0.00     0    1      0.0    5 
17/07/14 12:45a    ---    ---    ---   ---    ---   0.0   ---   0.00   0.0   ---    ---    ---    ---    ---   759.4  0.00   0.0   ---      ---    ---     ---   ---   ---     ---     ---   24.8    68   18.5   25.7    0.00     0    1      0.0    5 
